feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHH,3JHN
10th_closest_to_0_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
10th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False
10th_closest_to_1_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
10th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False
12th_closest_to_0_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
12th_closest_to_1_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
13th_closest_to_1_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
14th_closest_to_1_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,False
2nd_closest_to_0_atomic_mass,False,True,True,True,True,False,True
2nd_closest_to_0_atomic_mass_x_cube_inv_dist,False,False,False,False,False,False,True
2nd_closest_to_0_dist_x_atomic_mass,False,True,True,True,True,True,True
2nd_closest_to_0_valence,False,True,True,False,True,False,True
2nd_closest_to_0_valence_x_cube_inv_dist,False,True,True,True,True,True,True
2nd_closest_to_1_atomic_mass,False,False,,False,True,True,True
2nd_closest_to_1_atomic_mass_x_cube_inv_dist,False,True,False,True,True,False,True
2nd_closest_to_1_dist_x_atomic_mass,False,False,False,True,True,True,False
2nd_closest_to_1_valence,False,True,False,False,True,True,True
2nd_closest_to_1_valence_x_cube_inv_dist,False,False,False,True,True,True,False
3rd_closest_to_0_atomic_mass,False,False,False,True,True,False,True
3rd_closest_to_0_atomic_mass_x_cube_inv_dist,False,False,False,True,True,False,True
3rd_closest_to_0_dist_x_atomic_mass,False,False,False,True,False,False,True
3rd_closest_to_0_valence,False,False,False,True,False,True,True
3rd_closest_to_0_valence_x_cube_inv_dist,False,False,False,True,True,True,True
3rd_closest_to_1_atomic_mass,False,False,True,True,True,,False
3rd_closest_to_1_atomic_mass_x_cube_inv_dist,True,True,False,True,True,False,True
3rd_closest_to_1_dist_x_atomic_mass,False,False,False,True,False,True,False
3rd_closest_to_1_valence,True,False,False,True,True,True,True
