feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHC,3JHH,3JHN
10th_closest_to_0,False,False,False,False,False,False,False,True
10th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
10th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
10th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
10th_closest_to_0_valence,False,False,False,False,False,False,False,False
10th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,True,False,True
10th_closest_to_1,False,False,False,False,False,False,False,False
10th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
10th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
10th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
10th_closest_to_1_valence,False,False,False,False,False,False,False,False
10th_closest_to_1_valence_x_cube_inv_dist,True,False,True,False,False,True,False,True
11th_closest_to_0,False,False,False,False,False,False,False,True
11th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
11th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
11th_closest_to_0_valence,False,False,False,False,False,False,False,False
11th_closest_to_1,False,False,False,False,False,False,False,False
11th_closest_to_1_exact_mass,False,True,False,False,False,False,False,False
11th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
11th_closest_to_1_valence,False,False,False,False,False,False,False,False
12th_closest_to_0,False,False,False,False,False,False,False,False
12th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
12th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
12th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
12th_closest_to_0_valence,False,False,False,False,False,False,False,False
12th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,True,False,True
12th_closest_to_1,False,False,False,False,False,False,False,False
12th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
12th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
12th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
12th_closest_to_1_valence,True,False,False,False,False,False,False,False
12th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,True,False,False,True
13th_closest_to_0,False,False,False,False,False,False,False,False
13th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
13th_closest_to_0_spin_multiplicity,False,True,False,False,False,False,False,False
13th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
13th_closest_to_0_valence,False,False,False,False,False,False,False,False
13th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,True
13th_closest_to_1,False,False,False,False,False,False,False,False
13th_closest_to_1_exact_mass,True,True,False,False,False,False,False,False
13th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
13th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,True,False,False,False,False
13th_closest_to_1_valence,False,False,False,False,False,False,False,False
13th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,True
14th_closest_to_0,False,False,False,False,False,False,False,False
14th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
14th_closest_to_0_spin_multiplicity,False,False,False,True,False,False,False,False
14th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
14th_closest_to_0_valence,False,False,False,False,False,False,False,False
14th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,True
14th_closest_to_1,False,False,False,False,False,False,False,False
14th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
14th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
14th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
14th_closest_to_1_valence,False,False,False,False,False,False,False,False
14th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
15th_closest_to_0,False,False,False,False,False,False,False,False
15th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
15th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
15th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
15th_closest_to_0_valence,False,False,False,False,False,False,False,False
15th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
15th_closest_to_1,False,True,False,False,False,False,False,False
15th_closest_to_1_exact_mass,False,True,False,False,False,False,False,False
15th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
15th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
15th_closest_to_1_valence,False,False,False,False,False,False,False,False
15th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
16th_closest_to_0,False,False,False,False,False,False,False,False
16th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
16th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
16th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
16th_closest_to_0_valence,False,False,False,False,False,False,False,False
16th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
16th_closest_to_1,False,False,False,False,False,False,False,False
16th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
16th_closest_to_1_spin_multiplicity,False,True,False,False,False,False,False,False
16th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
16th_closest_to_1_valence,False,False,False,True,False,False,False,False
16th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
17th_closest_to_0,False,False,False,False,False,False,False,False
17th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
17th_closest_to_0_spin_multiplicity,True,False,False,False,False,False,False,False
17th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
17th_closest_to_0_valence,True,False,False,False,False,False,False,False
17th_closest_to_0_valence_x_cube_inv_dist,True,False,False,False,False,False,False,False
17th_closest_to_1,False,False,False,False,False,False,False,False
17th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
17th_closest_to_1_spin_multiplicity,True,True,False,False,False,False,False,False
17th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
17th_closest_to_1_valence,False,False,False,False,False,False,False,False
17th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
18th_closest_to_0,False,True,False,False,False,False,False,False
18th_closest_to_0_exact_mass,True,False,False,False,False,False,False,False
18th_closest_to_0_spin_multiplicity,False,False,False,True,False,False,False,False
18th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
18th_closest_to_0_valence,False,False,False,False,False,False,False,False
18th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
18th_closest_to_1,False,False,False,False,False,False,False,False
18th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
18th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
18th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
18th_closest_to_1_valence,False,False,False,False,False,False,False,False
18th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
19th_closest_to_0,False,False,False,False,False,False,False,False
19th_closest_to_0_exact_mass,False,False,False,True,False,False,False,False
19th_closest_to_0_spin_multiplicity,True,False,False,False,False,False,False,False
19th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,True,False,False,False,False
19th_closest_to_0_valence,False,False,False,False,False,False,False,False
19th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
19th_closest_to_1,False,False,False,False,False,False,False,False
19th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
19th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
19th_closest_to_1_spin_multiplicity_x_cube_inv_dist,True,False,False,False,False,False,False,False
19th_closest_to_1_valence,False,False,False,True,False,False,False,False
19th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_0,False,False,False,False,False,False,False,False
20th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
20th_closest_to_0_spin_multiplicity,True,False,False,False,False,False,False,False
20th_closest_to_0_spin_multiplicity_x_cube_inv_dist,True,False,False,False,False,False,False,False
20th_closest_to_0_valence,False,False,False,False,False,False,False,False
20th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_1,False,False,False,False,False,False,False,False
20th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
20th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
20th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_1_valence,False,False,False,False,False,False,False,False
20th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_0,False,False,False,False,False,False,False,False
21st_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
21st_closest_to_0_spin_multiplicity,True,True,False,False,False,False,False,False
21st_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_0_valence,False,False,False,False,False,False,False,False
21st_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_1,False,False,False,False,False,False,False,False
21st_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
21st_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
21st_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,True,False,True,False,False,False,False
21st_closest_to_1_valence,False,False,False,False,False,False,False,False
21st_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
22nd_closest_to_0,False,False,False,False,False,False,False,False
22nd_closest_to_0_exact_mass,False,True,False,False,False,False,False,False
22nd_closest_to_0_spin_multiplicity,False,True,False,True,False,False,False,False
22nd_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
