run_id,model_number,eval_metric,n_estimators,early_stopping_rounds,random_state,n_threads,learning_rate,n_fold,model_type,training_time,n_features,gml_oof_score,oof_score,lb_score,1JHC_mae_cv,2JHH_mae_cv,1JHN_mae_cv,2JHN_mae_cv,2JHC_mae_cv,3JHH_mae_cv,3JHC_mae_cv,3JHN_mae_cv,1JHC_std_mae_cv,2JHH_std_mae_cv,1JHN_std_mae_cv,2JHN_std_mae_cv,2JHC_std_mae_cv,3JHH_std_mae_cv,3JHC_std_mae_cv,3JHN_std_mae_cv,1JHC_tr_sec_f1,1JHC_pred_sec_f1,1JHC_tr_sec_f2,1JHC_pred_sec_f2,2JHH_tr_sec_f1,2JHH_pred_sec_f1,2JHH_tr_sec_f2,2JHH_pred_sec_f2,1JHN_tr_sec_f1,1JHN_pred_sec_f1,1JHN_tr_sec_f2,1JHN_pred_sec_f2,2JHN_tr_sec_f1,2JHN_pred_sec_f1,2JHN_tr_sec_f2,2JHN_pred_sec_f2,2JHC_tr_sec_f1,2JHC_pred_sec_f1,2JHC_tr_sec_f2,2JHC_pred_sec_f2,3JHH_tr_sec_f1,3JHH_pred_sec_f1,3JHH_tr_sec_f2,3JHH_pred_sec_f2,3JHC_tr_sec_f1,3JHC_pred_sec_f1,3JHC_tr_sec_f2,3JHC_pred_sec_f2,3JHN_tr_sec_f1,3JHN_pred_sec_f1,3JHN_tr_sec_f2,3JHN_pred_sec_f2,1JHC_csv_save_sec,2JHH_csv_save_sec,1JHN_csv_save_sec,2JHN_csv_save_sec,2JHC_csv_save_sec,3JHH_csv_save_sec,3JHC_csv_save_sec,3JHN_csv_save_sec,depth,1JHC_tr_sec_f3,1JHC_pred_sec_f3,2JHH_tr_sec_f3,2JHH_pred_sec_f3,1JHN_tr_sec_f3,1JHN_pred_sec_f3,2JHN_tr_sec_f3,2JHN_pred_sec_f3,3JHH_tr_sec_f3,3JHH_pred_sec_f3,2JHC_tr_sec_f3,2JHC_pred_sec_f3,3JHC_tr_sec_f3,3JHC_pred_sec_f3,3JHN_tr_sec_f3,3JHN_pred_sec_f3,2JHN_f1_best_iter,2JHN_f2_best_iter,1JHN_f1_best_iter,1JHN_f2_best_iter,3JHN_f1_best_iter,3JHN_f2_best_iter,2JHH_f1_best_iter,2JHH_f2_best_iter,3JHH_f1_best_iter,3JHH_f2_best_iter,1JHC_f1_best_iter,1JHC_f2_best_iter,2JHC_f1_best_iter,2JHC_f2_best_iter,3JHC_f1_best_iter,3JHC_f2_best_iter
0610_1341,M010,mae,500000,500,529,32,0.5,5,,,61,,0.921,-0.452,1.9206,0.4542,1.0336,0.5335,0.8405,0.5699,0.8593,0.3264,0.00388,0.00112,0.00945,0.00394,0.00131,0.00149,0.00279,0.00184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_0308,M012,mae,500000,500,529,32,0.5,5,,,28,,1.0109,-0.202,1.8632,0.4782,0.9773,0.5826,1.0352,0.6167,0.9867,0.3553,0.00415,0.0006,0.01524,0.00399,0.00435,0.00285,0.00162,0.00088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_1250,M013,mae,50000,500,529,32,0.5,5,catboost,137353.19,28,,0.9488,,1.7478,0.4442,1.0337,0.53,0.9603,0.5761,0.9359,0.33,0.00485,0.00293,0.01892,0.00264,0.0033,0.00167,0.00182,0.00202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_1249,M014,mae,500000,500,529,24,0.3,5,,,28,,0.9142,-0.275,1.7005,0.4378,0.8751,0.507,0.9209,0.5596,0.8967,0.3167,0.00432,0.00156,0.01019,0.00536,0.00292,0.00243,0.00197,0.00191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0613_0402,M015,mae,500000,500,529,24,0.3,5,,,51,,0.7914,-0.671,1.6918,0.3843,0.9161,0.4388,0.7155,0.4726,0.7331,0.2789,0.00215,0.00168,0.00587,0.00425,0.0023,0.00194,0.00083,0.00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0618_0349,M016,group_mae,500000,500,529,42,0.2,5,lgbm,,51,,0.7409,-0.695,1.598,0.3582,0.8608,0.4013,0.6672,0.4389,0.6844,0.2577,0.00087,0.00188,0.00677,0.00312,0.0006,0.00103,0.00043,0.00188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0621_0331,M017,group_mae,500000,500,529,42,0.1,3,lgbm,,50,,,1.821,1.4084,0.337,0.6011,0.3923,0.6379,0.3653,0.6537,0.2566,0.001,0.0014,0.00379,0.0007,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21579.49,30164.4,30540.03,31977.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0623_1352,M018,group_mae,5000,500,529,52,0.1,2,lgbm,1872.92,50,1.6174,12.0448,-0.634,1.562,0.3581,0.585,0.3863,0.756,0.407,0.8174,0.2618,0.00153,2E-05,0.00184,0.00052,0.00084,0.00122,0.00263,0.00103,83.13,21.9,83.55,21.61,57.86,11.18,56.75,10.66,23.05,0.99,23.29,0.89,35.55,3.35,36.49,3.18,130.31,37.06,136.59,35.96,80.8,17.9,76.92,17.72,203.38,48.65,193.15,49.44,40.69,4.81,39.39,4.88,24.38,24.51,24.83,24.83,25.61,26.03,27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0623_1435,M019,group_mae,50000,500,529,52,0.3,2,lgbm,13891.47,44,1.6189,12.0371,-0.664,1.5682,0.3802,0.6467,0.4467,0.7219,0.4151,0.7557,0.2926,0.00304,0.00103,0.00544,0.00181,0.00152,0.00024,0.00142,0.00051,346.1,100.98,368.6,105.67,148.53,30.95,241.49,52.45,58.65,2.66,29.91,1,109.09,9.83,128.56,11.58,1255.46,606.45,1287.23,751.41,525.9,228.06,613.84,366.8,1617.83,1298.3,1570.21,1370.32,170.59,26.13,147.59,20.96,24.21,24.53,24.55,24.57,25.37,25.68,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0624_0121,M020,group_mae,500000,500,529,60,0.3,2,lgbm,21487.8,44,1.6188,12.0366,-0.666,1.5631,0.3787,0.6449,0.4429,0.7222,0.4145,0.7547,0.2919,0.00526,0.00077,0.00484,0.00181,0.00226,0.00104,0.0009,0.00192,810.07,209.61,699.04,129.85,236.61,40.68,369.15,63.3,25.17,0.54,38.9,1.34,104.71,8.09,134.67,10.52,1440.64,563.56,1718.44,832.42,943.03,390.52,1002.29,508.39,2007.33,1489.61,3726.66,3186.55,218.05,27.95,235.06,28.37,23.97,23.97,23.98,24.05,25.12,25.29,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
