run_id,model_number,1JHC_mae_cv,1JHC_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,1JHC_features,random_state,hours_total,1JHC_meta_fc_mae_cv_f1,1JHC_meta_fc_mae_cv_f2,1JHC_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,1JHC_std_mae_cv,1JHC_f1_best_iter,1JHC_f2_best_iter,1JHCcv_f1,1JHCcv_f2,1JHC_meta_fc_est,1JHC_meta_fc_mae_cv,1JHC_meta_fc_metafolds,1JHC_meta_sd_est,1JHC_meta_sd_metafolds,1JHC_meta_sd_mae_cv_f1,1JHC_meta_pso_est,1JHC_meta_pso_metafolds,1JHC_meta_pso_mae_cv_f1,1JHC_meta_dso_est,1JHC_meta_dso_metafolds,1JHC_meta_dso_mae_cv_f1,1JHC_meta_sd_mae_cv_f2,1JHC_meta_pso_mae_cv_f2,1JHC_meta_dso_mae_cv_f2,1JHC_f3_best_iter,1JHCcv_f3,1JHC_meta_fc_lmae_cv_f1,1JHC_meta_fc_lmae_cv_f2,1JHC_meta_fc_lmae_cv_f3,1JHC_tr_hour_f1,1JHC_pred_hour_f1,1JHC_tr_hour_f2,1JHC_pred_hour_f2,1JHC_csv_save_hour,1JHC_tr_hour_f3,1JHC_pred_hour_f3
0725_0821,M053,0.4215,-0.8639,5.0000,0.1000,catboost,3,MAE,,389.0000,529,8.4825,0.5512,0.5495,0.5515,500000,500,48,,,,,0.0009,499994.0000,499996.0000,0.4207,0.4228,500000.0000,,2.0000,,,,,,,,,,,,,499996.0000,0.4211,-0.5957,-0.5987,-0.5952,2.8772,0.0083,2.7847,0.0039,,2.8028,0.0056
0718_1745,M048,0.4379,-0.8258,7.0000,0.1000,catboost,3,MAE,,389.0000,529,9.5153,0.5814,0.5799,0.5810,500000,500,48,,,,,0.0009,436958.0000,349930.0000,0.4377,0.4391,300000.0000,,2.0000,,,,,,,,,,,,,358431.0000,0.4368,-0.5423,-0.5449,-0.5430,3.3950,0.0161,2.9842,0.0122,,3.0953,0.0125
0714_2226,M047,0.4504,-0.7976,7.0000,0.1000,catboost,3,MAE,,304.0000,529,9.1900,0.5970,0.5954,0.5978,500000,500,48,229718.0000,-1.7577,0.2098,,0.0006,420207.0000,415474.0000,0.4504,0.4511,300000.0000,,2.0000,,,,,,,,,,,,,426205.0000,0.4496,,,,3.0269,0.0164,3.0194,0.0106,0.0067,3.0947,0.0153
0721_0839,M049,0.4534,-0.7910,9.0000,0.0500,xgboost,3,mae,,389.0000,529,5.5623,0.6459,0.6452,0.6458,500000,50,48,32014.0000,0.8705,3.3968,,0.0006,23446.0000,22400.0000,0.4526,0.4535,300000.0000,,2.0000,,,,,,,,,,,,,22698.0000,0.4541,-0.4371,-0.4382,-0.4373,1.7164,0.1553,1.6931,0.1489,,1.6975,0.1511
0712_2026,M046,0.4976,-0.6980,7.0000,0.1000,catboost,2,MAE,310.0000,,529,2.7442,0.6618,0.6601,,500000,500,48,9932.0000,-1.6517,,,0.0013,344708.0000,319127.0000,0.4963,0.4989,50000.0000,,2.0000,,,,,,,,,,,,,,,,,,1.4242,0.0167,1.2889,0.0144,,,
0710_2124,M043,0.5124,-0.6686,7.0000,0.1000,catboost,2,MAE,575.0000,,529,2.8300,,,,500000,500,48,,-1.5582,0.2527,,0.0020,311944.0000,300150.0000,0.5104,0.5145,,,,,,,,,,,,,,,,,,,,,1.4294,0.0139,1.3739,0.0128,,,
0711_2313,M045_1JHC,0.5244,-0.6455,7.0000,0.1000,catboost,2,MAE,310.0000,,529,2.2391,,,,500000,500,48,8110.0000,1.3475,4.0034,,0.0018,343676.0000,338456.0000,0.5226,0.5262,,,,,,,,,,,,,,,,,,,,,1.1169,0.0153,1.0922,0.0147,,,
0711_1936,M044,0.5376,-0.6206,7.0000,0.1000,catboost,2,MAE,569.0000,,529,3.0497,,,,500000,500,48,11031.0000,1.3506,4.0054,,0.0007,310386.0000,309866.0000,0.5369,0.5383,,,,,,,,,,,,,,,,,,,,,1.5028,0.0142,1.5169,0.0158,,,
0726_1126,M054,0.5570,-0.5852,7.0000,0.1000,catboost,3,MAE,,1048.0000,529,0.9564,0.6624,0.6638,0.6622,10000,500,48,,,,,0.0030,9999.0000,9999.0000,0.5530,0.5601,10000.0000,,2.0000,,,,,,,,,,,,,9999.0000,0.5580,-0.4119,-0.4098,-0.4123,0.3219,0.0003,0.3183,0.0003,,0.3153,0.0003
0709_1336,M042,0.5650,-0.5709,7.0000,0.1000,catboost,2,MAE,332.0000,,529,2.0051,,,,500000,500,48,45779.0000,-0.9447,0.9266,,0.0022,344937.0000,339234.0000,,,,,,,,,,,,,,,,,,,,,,,0.9931,0.0153,0.9825,0.0142,,,
0708_1639,M040,0.5782,-0.5478,7.0000,0.1000,catboost,2,MAE,228.0000,,529,2.6911,,,,500000,500,16,59711.0000,-1.5419,0.2635,-1.6420,0.0019,402211.0000,352328.0000,,,,,,,,,,,,,,,,,,,,,,,1.7439,0.0206,0.9097,0.0169,,,
0702_0822,M031,0.5793,-0.5459,7.0000,0.0500,catboost,3,MAE,240.0000,,529,4.8645,,,,5000000,500,16,,,,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,1.6794,0.0392,1.5497,0.0306,0.0089,1.5286,0.0281
0707_0907,M038,0.5874,-0.5321,7.0000,0.0800,catboost,2,MAE,195.0000,,529,2.0083,,,,500000,500,16,,,,,0.0019,499995.0000,456066.0000,,,,,,,,,,,,,,,,,,,,,,,1.0428,0.0225,0.9136,0.0219,0.0075,,
0706_2029,M037,0.5959,-0.5177,7.0000,0.1000,catboost,2,MAE,195.0000,,529,1.6842,,,,500000,50,16,40607.0000,-1.5106,0.2749,-1.6080,0.0007,419882.0000,413787.0000,,,,,,,,,,,,,,,,,,,,,,,0.8303,0.0175,0.8122,0.0167,0.0075,,
0708_1415,M039,0.6021,-0.5073,7.0000,0.1000,catboost,2,MAE,228.0000,,529,0.2338,,,,50000,500,16,7327.0000,-1.4994,0.2788,,0.0021,49999.0000,49999.0000,,,,,,,,,,,,,,,,,,,,,,,0.1158,0.0008,0.1164,0.0008,,,
0703_2133,M032,0.6068,-0.4996,7.0000,0.1000,catboost,3,MAE,293.0000,,529,3.4064,,,,5000000,50,16,85338.0000,-1.3405,0.3390,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,1.1594,0.0178,1.0547,0.0164,0.0072,1.1328,0.0181
