run_id,model_number,1JHN_mae_cv,1JHN_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,1JHN_features,random_state,hours_total,1JHN_meta_fc_mae_cv_f1,1JHN_meta_fc_mae_cv_f2,1JHN_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,1JHN_std_mae_cv,1JHN_f1_best_iter,1JHN_f2_best_iter,1JHNcv_f1,1JHNcv_f2,1JHN_meta_fc_est,1JHN_meta_fc_metafolds,1JHN_f3_best_iter,1JHNcv_f3,1JHN_meta_fc_lmae_cv_f1,1JHN_meta_fc_lmae_cv_f2,1JHN_meta_fc_lmae_cv_f3,1JHN_f1-2_metafc_best_iter,1JHN_f1-3_metafc_best_iter,1JHN_f2-2_metafc_best_iter,1JHN_f2-3_metafc_best_iter,1JHN_f3-2_metafc_best_iter,1JHN_f3-3_metafc_best_iter,1JHN_tr_hour_f1,1JHN_pred_hour_f1,1JHN_tr_hour_f2,1JHN_pred_hour_f2,1JHN_csv_save_hour,1JHN_tr_hour_f3,1JHN_pred_hour_f3
0728_1722,M056,0.2407,-1.4242,7.0000,0.0050,xgboost,3,mae,,275.0000,529,1.4011,0.3497,0.3493,0.3475,500000,500,48,5186.0000,1.3368,17.9483,,0.0016,63594.0000,58310.0000,0.2389,0.2429,500000.0000,2.0000,70218.0000,0.2403,-1.0506,-1.0519,-1.0569,49861.0000,51200.0000,48713.0000,49468.0000,52156.0000,50862.0000,0.4600,0.0083,0.4339,0.0078,,0.4819,0.0092
0719_2005,M049,0.2565,-1.3606,9.0000,0.0050,xgboost,3,mae,,367.0000,529,1.4458,0.3701,0.3722,0.3691,100000,500,48,5405.0000,1.3448,17.9484,,0.0030,32643.0000,32462.0000,0.2532,0.2604,100000.0000,2.0000,33525.0000,0.2558,-0.9940,-0.9884,-0.9965,,,,,,,0.4719,0.0061,0.4767,0.0061,,0.4786,0.0064
0721_1746,M049,0.2571,-1.3583,9.0000,0.0100,xgboost,3,mae,,383.0000,529,1.0647,0.3722,0.3739,0.3711,500000,50,48,3932.0000,1.3451,17.9484,,0.0025,10647.0000,13197.0000,0.2546,0.2604,300000.0000,2.0000,14209.0000,0.2561,-0.9884,-0.9837,-0.9913,,,,,,,0.3336,0.0039,0.3525,0.0047,,0.3647,0.0053
0725_0821,M053,0.2821,-1.2655,5.0000,0.1000,catboost,3,MAE,,383.0000,529,4.1125,0.3642,0.3638,0.3650,500000,500,48,,,,,0.0032,127193.0000,93248.0000,0.2866,0.2803,500000.0000,2.0000,114705.0000,0.2795,-1.0101,-1.0112,-1.0079,,,,,,,1.3375,0.0000,1.3978,0.0000,,1.3772,0.0000
0728_1938,M055,0.2838,-1.2595,7.0000,0.1000,catboost,3,MAE,,275.0000,529,6.0681,0.3566,0.4133,0.3681,500000,500,48,103669.0000,0.3919,15.9532,,0.0100,158532.0000,97325.0000,0.2818,0.2970,500000.0000,2.0000,303782.0000,0.2726,-1.0310,-0.8836,-0.9994,,,,,,,2.3778,0.0000,0.9667,0.0000,,2.7233,0.0003
0807_0103,M058,0.2970,-1.2140,2.0000,0.0050,catboost,3,MAE,,275.0000,529,10.9826,0.3854,0.3930,0.3830,1000000,5000,48,,,,,0.0020,999993.0000,999987.0000,0.2977,0.2989,500000.0000,2.0000,999994.0000,0.2942,-0.9535,-0.9339,-0.9597,499998.0000,499999.0000,499993.0000,499999.0000,499982.0000,499988.0000,3.7133,0.0003,3.6728,0.0003,,3.5956,0.0003
0714_2226,M047,0.3276,-1.1160,7.0000,0.1000,catboost,3,MAE,,298.0000,529,5.2937,0.4024,0.4648,0.4243,500000,500,48,229718.0000,-1.7577,0.2098,,0.0059,75692.0000,93417.0000,0.3358,0.3247,300000.0000,2.0000,105497.0000,0.3222,,,,,,,,,,1.8508,0.0000,1.7056,0.0000,0.0067,1.7306,0.0000
0721_2252,M050,0.3351,-1.0933,9.0000,0.0050,xgboost,3,mae,,39.0000,529,0.7830,0.4347,0.4347,0.4354,500000,50,48,,,,,0.0038,21064.0000,19141.0000,0.3299,0.3386,300000.0000,2.0000,19138.0000,0.3368,-0.8331,-0.8331,-0.8315,,,,,,,0.2733,0.0003,0.2444,0.0003,,0.2644,0.0003
0717_2239,M048,0.3367,-1.0886,7.0000,0.1000,catboost,3,MAE,,383.0000,529,4.6809,0.4710,0.4497,0.3826,500000,500,48,,,,,0.0463,23053.0000,92721.0000,0.4013,0.3135,300000.0000,2.0000,145710.0000,0.2952,-0.7528,-0.7991,-0.9608,,,,,,,0.4503,0.0000,1.0925,0.0000,,3.1378,0.0003
0712_2026,M046,0.3566,-1.0311,7.0000,0.1000,catboost,2,MAE,310.0000,,529,3.9120,0.4934,0.5246,,500000,500,48,9932.0000,-1.6517,,,0.0017,144080.0000,183961.0000,0.3583,0.3549,50000.0000,2.0000,,,,,,,,,,,,1.9483,0.0003,1.9631,0.0003,,,
