run_id,model_number,2JHH_mae_cv,2JHH_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,2JHH_features,random_state,hours_total,2JHH_meta_fc_mae_cv_f1,2JHH_meta_fc_mae_cv_f2,2JHH_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,2JHH_std_mae_cv,2JHH_f1_best_iter,2JHH_f2_best_iter,2JHHcv_f1,2JHHcv_f2,2JHH_meta_fc_est,2JHH_meta_fc_metafolds,2JHH_f3_best_iter,2JHHcv_f3,2JHH_meta_fc_lmae_cv_f1,2JHH_meta_fc_lmae_cv_f2,2JHH_meta_fc_lmae_cv_f3,2JHH_f1-2_metafc_best_iter,2JHH_f1-3_metafc_best_iter,2JHH_f2-2_metafc_best_iter,2JHH_f2-3_metafc_best_iter,2JHH_f3-2_metafc_best_iter,2JHH_f3-3_metafc_best_iter,2JHH_tr_hour_f1,2JHH_pred_hour_f1,2JHH_tr_hour_f2,2JHH_pred_hour_f2,2JHH_csv_save_hour,2JHH_tr_hour_f3,2JHH_pred_hour_f3
0809_0027,M059,0.0856,-2.4581,7.0000,0.0100,catboost,3,MAE,,322.0000,529,16.9808,0.1112,0.1110,0.1102,1000000,5000,48,,,,,0.0007,999983.0000,999997.0000,0.0853,0.0850,500000.0000,2.0000,999999.0000,0.0865,-2.1964,-2.1986,-2.2055,499997.0000,499998.0000,499997.0000,499999.0000,499991.0000,499988.0000,5.6175,0.0172,5.5981,0.0211,,5.7061,0.0208
0805_1049,M058,0.0889,-2.4202,7.0000,0.0050,catboost,3,MAE,,299.0000,529,16.1895,0.1152,0.1153,0.1145,1000000,500,48,,,,,0.0006,999997.0000,999999.0000,0.0886,0.0884,500000.0000,2.0000,999998.0000,0.0897,-2.1611,-2.1601,-2.1675,499999.0000,499997.0000,499997.0000,499995.0000,499999.0000,499999.0000,5.2889,0.0219,5.4567,0.0228,,5.3775,0.0217
0728_1938,M055,0.0949,-2.3549,7.0000,0.1000,catboost,3,MAE,,299.0000,529,4.4830,0.1341,0.1340,0.1329,500000,500,48,103669.0000,0.3919,15.9532,,0.0004,265414.0000,260301.0000,0.0953,0.0942,500000.0000,2.0000,231099.0000,0.0951,-2.0095,-2.0099,-2.0183,,,,,,,1.5556,0.0053,1.4658,0.0050,,1.4469,0.0044
0723_1745,M052,0.1001,-2.3016,10.0000,0.0100,catboost,3,MAE,,377.0000,529,23.0961,0.1316,0.1313,0.1305,500000,50,48,,,,,0.0004,221332.0000,187425.0000,0.0999,0.0998,500000.0000,2.0000,182959.0000,0.1007,-2.0277,-2.0303,-2.0362,,,,,,,7.9178,0.0108,7.6039,0.0108,,7.5400,0.0128
0717_2239,M048,0.1020,-2.2828,7.0000,0.1000,catboost,3,MAE,,377.0000,529,4.5043,0.1436,0.1439,0.1430,500000,500,48,,,,,0.0004,217821.0000,147850.0000,0.1017,0.1019,300000.0000,2.0000,218486.0000,0.1025,-1.9404,-1.9385,-1.9451,,,,,,,1.6239,0.0031,1.3017,0.0028,,1.5686,0.0042
0714_2226,M047,0.1098,-2.2091,7.0000,0.1000,catboost,3,MAE,,292.0000,529,4.4675,0.1528,0.1524,0.1525,500000,500,48,229718.0000,-1.7577,0.2098,,0.0008,258415.0000,241810.0000,0.1090,0.1094,300000.0000,2.0000,239307.0000,0.1109,,,,,,,,,,1.4661,0.0050,1.4831,0.0044,0.0067,1.4975,0.0047
0719_1817,M049,0.1159,-2.1550,10.0000,0.1000,xgboost,3,mae,,367.0000,529,2.4011,0.1640,0.1649,0.1643,100000,500,48,8790.0000,1.4339,17.5436,,0.0008,37665.0000,32264.0000,0.1160,0.1148,100000.0000,2.0000,31037.0000,0.1169,-1.8078,-1.8026,-1.8061,,,,,,,0.7611,0.0589,0.7314,0.0525,,0.7461,0.0511
0721_2252,M050,0.1190,-2.1286,9.0000,0.0050,xgboost,3,mae,,60.0000,529,4.1739,0.1579,0.1595,0.1592,500000,50,48,,,,,0.0006,83360.0000,81596.0000,0.1187,0.1185,300000.0000,2.0000,79403.0000,0.1198,-1.8457,-1.8357,-1.8379,,,,,,,1.4636,0.0039,1.3078,0.0039,,1.3908,0.0039
0726_1820,M054,0.1199,-2.1211,7.0000,0.1000,catboost,3,MAE,,1048.0000,529,0.6911,0.1542,0.1538,0.1530,10000,500,48,11952.0000,0.0136,16.4317,,0.0001,9999.0000,9999.0000,0.1199,0.1198,10000.0000,2.0000,9999.0000,0.1201,-1.8692,-1.8723,-1.8774,,,,,,,0.2342,0.0000,0.2294,0.0000,,0.2275,0.0000
0712_2026,M046,0.1251,-2.0786,7.0000,0.1000,catboost,2,MAE,310.0000,,529,2.3022,0.1708,0.1739,,500000,500,48,9932.0000,-1.6517,,,0.0004,181770.0000,152977.0000,0.1255,0.1247,50000.0000,2.0000,,,,,,,,,,,,1.2247,0.0028,1.0647,0.0033,0.0067,,
0710_2124,M043,0.1382,-1.9790,7.0000,0.1000,catboost,2,MAE,575.0000,,529,1.1119,,,,500000,500,48,,-1.5582,0.2527,,0.0003,167329.0000,158250.0000,0.1385,0.1379,,,,,,,,,,,,,,0.5622,0.0036,0.5356,0.0036,0.0069,,
0707_0907,M038,0.1405,-1.9626,7.0000,0.0800,catboost,2,MAE,195.0000,,529,0.9778,,,,500000,500,16,,,,,0.0008,319343.0000,331130.0000,,,,,,,,,,,,,,,,0.4744,0.0078,0.4806,0.0081,0.0069,,
0708_1639,M040,0.1421,-1.9512,7.0000,0.1000,catboost,2,MAE,228.0000,,529,0.9744,,,,500000,500,16,59711.0000,-1.5419,0.2635,-1.6420,0.0009,227739.0000,268313.0000,,,,,,,,,,,,,,,,0.4353,0.0058,0.5169,0.0075,0.0089,,
0709_1336,M042,0.1428,-1.9463,7.0000,0.1000,catboost,2,MAE,332.0000,,529,0.8885,,,,500000,500,48,45779.0000,-0.9447,0.9266,,0.0013,215724.0000,204036.0000,,,,,,,,,,,,,,,,0.4486,0.0044,0.4244,0.0042,0.0069,,
0708_1415,M039,0.1440,-1.9379,7.0000,0.1000,catboost,2,MAE,228.0000,,529,0.1734,,,,50000,500,16,7327.0000,-1.4994,0.2788,,0.0009,49997.0000,49999.0000,,,,,,,,,,,,,,,,0.0825,0.0006,0.0822,0.0006,0.0075,,
0706_2029,M037,0.1440,-1.9379,7.0000,0.1000,catboost,2,MAE,195.0000,,529,0.7444,,,,500000,50,16,40607.0000,-1.5106,0.2749,-1.6080,0.0006,254087.0000,251872.0000,,,,,,,,,,,,,,,,0.3664,0.0047,0.3608,0.0056,0.0069,,
0705_2317,M036,0.1499,-1.8978,7.0000,0.1000,catboost,2,MAE,188.0000,,529,0.6770,,,,300000,50,16,32828.0000,-1.3767,0.3319,-1.4730,0.0010,237567.0000,247143.0000,,,,,,,,,,,,,,,,0.3242,0.0053,0.3356,0.0050,0.0069,,
0702_0822,M031,0.1543,-1.8689,7.0000,0.0500,catboost,3,MAE,240.0000,,529,2.1323,,,,5000000,500,16,,,,,0.0006,,,,,,,,,,,,,,,,,,0.7269,0.0119,0.6958,0.0108,0.0083,0.6669,0.0117
0703_1733,M032,0.1614,-1.8239,7.0000,0.1000,catboost,3,MAE,294.0000,,529,1.2061,,,,5000000,50,16,,,,,0.0006,,,,,,,,,,,,,,,,,,0.3878,0.0044,0.4106,0.0053,0.0069,0.3864,0.0047
