run_id,model_number,learning_rate,n_fold,eval_metric,n_features,2JHN_features,random_state,hours_total,2JHN_mae_cv,2JHN_logmae_cv,2JHN_meta_fc_mae_cv_f1,2JHN_meta_fc_mae_cv_f2,2JHN_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,model_type,training_time,depth,gml_oof_score,oof_score,lb_score,2JHN_std_mae_cv,2JHN_f1_best_iter,2JHN_f2_best_iter,2JHNcv_f1,2JHNcv_f2,2JHN_meta_fc_est,2JHN_meta_fc_metafolds,2JHN_f3_best_iter,2JHNcv_f3,2JHN_meta_fc_lmae_cv_f1,2JHN_meta_fc_lmae_cv_f2,2JHN_meta_fc_lmae_cv_f3,2JHN_tr_hour_f1,2JHN_pred_hour_f1,2JHN_tr_hour_f2,2JHN_pred_hour_f2,2JHN_csv_save_hour,2JHN_tr_hour_f3,2JHN_pred_hour_f3
0714_2226,M047,0.1000,3,MAE,,302.0000,529,10.1860,0.1200,-2.1203,0.1838,0.1843,0.1835,500000,500,48,catboost,229718.0000,7.0000,-1.7577,0.2098,,0.0003,90489.0000,94458.0000,0.1202,0.1196,300000.0000,2.0000,80457.0000,0.1201,,,,3.3164,0.0006,3.3150,0.0006,0.0067,3.5464,0.0003
0718_1745,M048,0.1000,3,MAE,,387.0000,529,10.0906,0.1246,-2.0827,0.1905,0.1893,0.1912,500000,500,48,catboost,,7.0000,,,,0.0004,62247.0000,75662.0000,0.1243,0.1245,300000.0000,2.0000,86984.0000,0.1252,-1.6583,-1.6646,-1.6546,3.4744,0.0003,3.5781,0.0003,,3.0369,0.0006
0712_2026,M046,0.1000,2,MAE,310.0000,,529,2.4968,0.1300,-2.0402,0.1975,0.1957,,500000,500,48,catboost,9932.0000,7.0000,-1.6517,,,0.0009,67695.0000,83468.0000,0.1309,0.1291,50000.0000,2.0000,,,,,,1.2042,0.0003,1.2917,0.0006,,,
0702_0822,M031,0.0500,3,MAE,240.0000,,529,0.7578,0.1300,-2.0402,,,,5000000,500,16,catboost,,7.0000,,,,0.0008,,,,,,,,,,,,0.2850,0.0022,0.2406,0.0019,0.0081,0.2183,0.0017
0707_0907,M038,0.0800,2,MAE,195.0000,,529,0.2812,0.1382,-1.9790,,,,500000,500,16,catboost,,7.0000,,,,0.0030,110601.0000,125276.0000,,,,,,,,,,0.1281,0.0006,0.1450,0.0008,0.0067,,
0701_1300,M030,0.0500,3,group_mae,240.0000,,529,1.2820,0.1396,-1.9690,,,,5000000,500,16,lgbm,,,,,,0.0000,,,,,,,,,,,,0.5800,0.2031,0.4003,0.0897,0.0089,,
0629_1311,M025,0.1000,2,group_mae,99.0000,,529,0.2221,0.1398,-1.9675,,,,500000,500,24,catboost,30069.0000,,-1.3265,0.3533,-1.4150,0.0012,,,,,,,,,,,,0.1169,0.0008,0.0969,0.0006,0.0069,,
0703_2133,M032,0.1000,3,MAE,293.0000,,529,0.3858,0.1406,-1.9618,,,,5000000,50,16,catboost,85338.0000,7.0000,-1.3405,0.3390,,0.0011,,,,,,,,,,,,0.1314,0.0006,0.1292,0.0006,0.0067,0.1167,0.0006
0706_2029,M037,0.1000,2,MAE,195.0000,,529,0.2384,0.1419,-1.9526,,,,500000,50,16,catboost,40607.0000,7.0000,-1.5106,0.2749,-1.6080,0.0016,101997.0000,97220.0000,,,,,,,,,,0.1164,0.0006,0.1139,0.0006,0.0069,,
0708_1639,M040,0.1000,2,MAE,228.0000,,529,0.2978,0.1435,-1.9414,,,,500000,500,16,catboost,59711.0000,7.0000,-1.5419,0.2635,-1.6420,0.0007,89061.0000,98109.0000,,,,,,,,,,0.1364,0.0008,0.1506,0.0008,0.0092,,
0708_1415,M039,0.1000,2,MAE,228.0000,,529,0.1281,0.1435,-1.9414,,,,50000,500,16,catboost,7327.0000,7.0000,-1.4994,0.2788,,0.0007,49998.0000,49994.0000,,,,,,,,,,0.0597,0.0003,0.0603,0.0003,0.0075,,
0705_2317,M036,0.1000,2,MAE,188.0000,,529,0.2370,0.1454,-1.9283,,,,300000,50,16,catboost,32828.0000,7.0000,-1.3767,0.3319,-1.4730,0.0005,99278.0000,97015.0000,,,,,,,,,,0.1169,0.0006,0.1122,0.0006,0.0067,,
0709_1336,M042,0.1000,2,MAE,332.0000,,529,0.2800,0.1457,-1.9262,,,,500000,500,48,catboost,45779.0000,7.0000,-0.9447,0.9266,,0.0011,87119.0000,91690.0000,,,,,,,,,,0.1322,0.0006,0.1397,0.0006,0.0069,,
0710_2124,M043,0.1000,2,MAE,575.0000,,529,0.3392,0.1478,-1.9119,,,,500000,500,48,catboost,,7.0000,-1.5582,0.2527,,0.0001,59700.0000,72504.0000,0.1477,0.1479,,,,,,,,0.1422,0.0003,0.1900,0.0003,0.0064,,
0627_1434,M024,0.1000,2,group_mae,99.0000,,529,0.3867,0.1478,-1.9119,,,,500000,500,48,lgbm,147803.0000,,-1.2826,0.3771,-1.3820,0.0010,,,,,,,,,,,,0.1381,0.0442,0.1497,0.0475,0.0072,,
0630_1258,M028,0.1000,2,group_mae,186.0000,,529,0.2221,0.1512,-1.8892,,,,5000000,500,24,catboost,35730.0000,,-1.2487,0.3684,,0.0012,,,,,,,,,,,,0.1036,0.0008,0.1086,0.0008,0.0083,,
0704_2344,M035,0.0100,2,group_mae,295.0000,,529,1.2027,0.1515,-1.8872,,,,500000,50,50,lgbm,,,,,,0.0006,,,,,,,,,,,,0.4825,0.1022,0.5086,0.1025,0.0069,,
0629_2221,M027,0.1000,2,group_mae,241.0000,,529,0.1996,0.1522,-1.8826,,,,500000,500,24,catboost,36762.0000,,-1.2683,0.3677,-1.3520,0.0012,,,,,,,,,,,,0.0908,0.0008,0.0986,0.0008,0.0086,,
0701_0819,M029,0.1000,2,RMSE,240.0000,,529,0.1797,0.1538,-1.8721,,,,5000000,500,24,catboost,56685.0000,4.0000,-1.2437,0.3850,,0.0025,,,,,,,,,,,,0.0744,0.0003,0.0978,0.0003,0.0069,,
0629_1637,M026,0.1000,2,group_mae,241.0000,,529,0.2811,0.1610,-1.8263,,,,500000,500,24,lgbm,106656.0000,,1.3690,9.3908,,0.0000,,,,,,,,,,,,,,0.2372,0.0350,0.0089,,
0629_1638,M026,0.1000,2,group_mae,241.0000,,529,0.1736,0.1626,-1.8165,,,,500000,500,24,lgbm,123918.0000,,1.3679,9.3902,,0.0000,,,,,,,,,,,,0.1283,0.0375,,,0.0078,,
0704_1133,M033,0.1000,2,group_mae,295.0000,,529,0.0775,0.1629,-1.8146,,,,5000000,50,24,lgbm,30530.0000,,1.4555,16.5716,,0.0000,,,,,,,,,,,,,,0.0594,0.0106,0.0075,,
0704_1132,M033,0.1000,2,group_mae,295.0000,,529,0.0647,0.1646,-1.8042,,,,5000000,50,24,lgbm,,,,,,0.0000,,,,,,,,,,,,0.0472,0.0103,,,0.0072,,
0627_0017,M023,0.3000,2,group_mae,167.0000,,529,0.1255,0.1782,-1.7248,,,,500000,500,48,lgbm,44349.0000,,-1.1118,0.4420,-1.2640,0.0025,,,,,,,,,,,,0.0533,0.0075,0.0503,0.0072,0.0072,,
0626_0129,M021,0.3000,2,group_mae,41.0000,,529,0.1083,0.1901,-1.6602,,,,500000,500,60,lgbm,21636.0900,,1.5972,11.9581,-1.0400,0.0007,,,,,,,,,,,,0.0406,0.0026,0.0544,0.0036,0.0071,,
0623_1352,M018,0.1000,2,group_mae,50.0000,,529,0.0287,0.3863,-0.9511,,,,5000,500,52,lgbm,1872.9200,,1.6174,12.0448,-0.6340,0.0005,,,,,,,,,,,,0.0099,0.0009,0.0101,0.0009,0.0069,,
0621_0331,M017,0.1000,3,group_mae,50.0000,,529,8.8827,0.3923,-0.9357,,,,500000,500,42,lgbm,,,,,1.8210,0.0007,,,,,,,,,,,,,,,,8.8827,,
0618_0349,M016,0.2000,5,group_mae,51.0000,,529,0.0000,0.4013,-0.9131,,,,500000,500,42,lgbm,,,,0.7409,-0.6950,0.0031,,,,,,,,,,,,,,,,,,
0613_0402,M015,0.3000,5,mae,51.0000,,529,0.0000,0.4388,-0.8237,,,,500000,500,24,,,,,0.7914,-0.6710,0.0043,,,,,,,,,,,,,,,,,,
0624_0121,M020,0.3000,2,group_mae,44.0000,,529,0.0783,0.4429,-0.8144,,,,500000,500,60,lgbm,21487.8000,,1.6188,12.0366,-0.6660,0.0018,,,,,,,,,,,,0.0291,0.0022,0.0374,0.0029,0.0067,,
0623_1435,M019,0.3000,2,group_mae,44.0000,,529,0.0787,0.4467,-0.8059,,,,50000,500,52,lgbm,13891.4700,,1.6189,12.0371,-0.6640,0.0018,,,,,,,,,,,,0.0303,0.0027,0.0357,0.0032,0.0068,,
0611_1249,M014,0.3000,5,mae,28.0000,,529,0.0000,0.5070,-0.6792,,,,500000,500,24,,,,,0.9142,-0.2750,0.0054,,,,,,,,,,,,,,,,,,
0611_1250,M013,0.5000,5,mae,28.0000,,529,0.0000,0.5300,-0.6349,,,,50000,500,32,catboost,137353.1900,,,0.9488,,0.0026,,,,,,,,,,,,,,,,,,
0610_1341,M010,0.5000,5,mae,61.0000,,529,0.0000,0.5335,-0.6283,,,,500000,500,32,,,,,0.9210,-0.4520,0.0039,,,,,,,,,,,,,,,,,,
0611_0308,M012,0.5000,5,mae,28.0000,,529,0.0000,0.5826,-0.5403,,,,500000,500,32,,,,,1.0109,-0.2020,0.0040,,,,,,,,,,,,,,,,,,
