run_id,model_number,learning_rate,learning_rate,n_fold,eval_metric,n_features,3JHC_features,random_state,hours_total,3JHC_mae_cv,3JHC_logmae_cv,3JHC_meta_fc_mae_cv_f1,3JHC_meta_fc_mae_cv_f2,3JHC_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,learning_rate,learning_rate,model_type,training_time,depth,gml_oof_score,oof_score,lb_score,3JHC_std_mae_cv,3JHC_f1_best_iter,3JHC_f2_best_iter,3JHCcv_f1,3JHCcv_f2,3JHC_meta_fc_est,3JHC_meta_fc_metafolds,3JHC_f3_best_iter,3JHCcv_f3,3JHC_tr_hour_f1,3JHC_pred_hour_f1,3JHC_tr_hour_f2,3JHC_pred_hour_f2,3JHC_csv_save_hour,3JHC_tr_hour_f3,3JHC_pred_hour_f3
0714_2226,M047,0.1000,0.1000,3,MAE,,304.0000,529,14.3127,0.1995,-1.6119,0.2934,0.2940,0.2956,500000,500,48,0.1000,0.1000,catboost,229718.0000,7.0000,-1.7577,0.2098,,0.0006,499948.0000,499998.0000,0.1991,0.2004,300000.0000,2.0000,499973.0000,0.1991,4.7100,0.0272,4.7019,0.0411,0.0078,4.7869,0.0378
0712_2026,M046,0.1000,0.1000,2,MAE,310.0000,,529,5.9500,0.2216,-1.5069,0.3277,0.3288,,500000,500,48,0.1000,0.1000,catboost,9932.0000,7.0000,-1.6517,,,0.0001,475878.0000,488960.0000,0.2215,0.2217,50000.0000,2.0000,,,2.8825,0.0494,2.9725,0.0456,,,
0712_0222,M045_3JHC,0.1000,0.1000,2,MAE,329.0000,,529,5.3313,0.2409,-1.4234,,,,500000,500,48,0.1000,0.1000,catboost,28269.0000,7.0000,1.6550,17.2576,,0.0005,492486.0000,479195.0000,0.2414,0.2404,,,,,2.6769,0.0408,2.5825,0.0311,,,
0709_1336,M042,0.1000,0.1000,2,MAE,332.0000,,529,4.9033,0.2458,-1.4032,,,,500000,500,48,0.1000,0.1000,catboost,45779.0000,7.0000,-0.9447,0.9266,,0.0000,499959.0000,498442.0000,,,,,,,2.4269,0.0411,2.3853,0.0433,0.0067,,
0708_1639,M040,0.1000,0.1000,2,MAE,228.0000,,529,5.2364,0.2459,-1.4028,,,,500000,500,16,0.1000,0.1000,catboost,59711.0000,7.0000,-1.5419,0.2635,-1.6420,0.0003,499929.0000,499978.0000,,,,,,,2.1642,0.0369,2.9847,0.0414,0.0092,,
0710_2124,M043,0.1000,0.1000,2,MAE,575.0000,,529,7.5500,0.2462,-1.4016,,,,500000,500,48,0.1000,0.1000,catboost,,7.0000,-1.5582,0.2527,,0.0000,484850.0000,499991.0000,0.2462,0.2462,,,,,3.7778,0.0458,3.6714,0.0481,0.0069,,
0706_2029,M037,0.1000,0.1000,2,MAE,195.0000,,529,3.0609,0.2650,-1.3280,,,,500000,50,16,0.1000,0.1000,catboost,40607.0000,7.0000,-1.5106,0.2749,-1.6080,0.0002,499994.0000,499968.0000,,,,,,,1.4681,0.0461,1.5017,0.0450,,,
0708_1415,M039,0.1000,0.1000,2,MAE,228.0000,,529,0.3989,0.2672,-1.3198,,,,50000,500,16,0.1000,0.1000,catboost,7327.0000,7.0000,-1.4994,0.2788,,0.0005,49999.0000,49999.0000,,,,,,,0.1936,0.0017,0.1944,0.0017,0.0075,,
0705_2317,M036,0.1000,0.1000,2,MAE,188.0000,,529,1.8192,0.3759,-0.9784,,,,300000,50,16,0.1000,0.1000,catboost,32828.0000,7.0000,-1.3767,0.3319,-1.4730,0.0000,299958.0000,299999.0000,,,,,,,0.8631,0.0253,0.9061,0.0247,,,
0703_2133,M032,0.1000,0.1000,3,MAE,293.0000,,529,8.9417,0.3838,-0.9576,,,,5000000,50,16,0.1000,0.1000,catboost,85338.0000,7.0000,-1.3405,0.3390,,0.0015,,,,,,,,,2.8197,0.0647,3.0614,0.0706,0.0081,2.8636,0.0536
