run_id,model_number,learning_rate,n_fold,eval_metric,n_features,random_state,hours_total,3JHN_mae_cv,3JHN_logmae_cv,oof_score,gml_oof_score,lb_score,n_estimators,early_stopping_rounds,n_threads,model_type,training_time,depth,3JHN_std_mae_cv,3JHN_f1_best_iter,3JHN_f2_best_iter,3JHNcv_f1,3JHNcv_f2,3JHN_meta_fc_est,3JHN_meta_fc_metafolds,3JHN_meta_fc_mae_cv_f1,3JHN_meta_fc_mae_cv_f2,3JHN_features,3JHN_meta_fc_mae_cv_f3,3JHN_f3_best_iter,3JHNcv_f3,3JHN_meta_fc_lmae_cv_f1,3JHN_meta_fc_lmae_cv_f2,3JHN_meta_fc_lmae_cv_f3,3JHN_tr_hour_f1,3JHN_pred_hour_f1,3JHN_tr_hour_f2,3JHN_pred_hour_f2,3JHN_csv_save_hour,3JHN_tr_hour_f3,3JHN_pred_hour_f3
0714_2226,M047,0.1000,3,MAE,,529,2.0810,0.0948,-2.3560,0.2098,-1.7577,,500000,500,48,catboost,229718.0000,7.0000,0.0000,131346.0000,114983.0000,0.0948,0.0948,300000.0000,2.0000,0.1392,0.1383,302.0000,0.1387,127416.0000,0.0948,,,,0.7169,0.0011,0.6342,0.0008,,0.7269,0.0011
0717_2239,M048,0.1000,3,MAE,,529,2.3594,0.0981,-2.3218,,,,500000,500,48,catboost,,7.0000,0.0006,124031.0000,96003.0000,0.0974,0.0985,300000.0000,2.0000,0.1435,0.1436,387.0000,0.1440,126899.0000,0.0986,-1.9413,-1.9405,-1.9379,0.8206,0.0008,0.7228,0.0008,,0.8133,0.0011
0712_2026,M046,0.1000,2,MAE,310.0000,529,2.7588,0.1054,-2.2500,,-1.6517,,500000,500,48,catboost,9932.0000,7.0000,0.0003,99753.0000,102189.0000,0.1056,0.1051,50000.0000,2.0000,0.1501,0.1510,,,,,,,,1.3744,0.0011,1.3822,0.0011,,,
0707_0907,M038,0.0800,2,MAE,195.0000,529,0.4075,0.1147,-2.1654,,,,500000,500,16,catboost,,7.0000,0.0003,154789.0000,160579.0000,,,,,,,,,,,,,,0.1958,0.0017,0.2014,0.0017,0.0069,,
0708_1639,M040,0.1000,2,MAE,228.0000,529,0.3067,0.1158,-2.1559,0.2635,-1.5419,-1.6420,500000,500,16,catboost,59711.0000,7.0000,0.0004,113287.0000,119236.0000,,,,,,,,,,,,,,0.1456,0.0008,0.1525,0.0011,0.0067,,
0708_1415,M039,0.1000,2,MAE,228.0000,529,0.1367,0.1160,-2.1542,0.2788,-1.4994,,50000,500,16,catboost,7327.0000,7.0000,0.0004,49999.0000,49999.0000,,,,,,,,,,,,,,0.0650,0.0003,0.0647,0.0003,0.0064,,
0706_2029,M037,0.1000,2,MAE,195.0000,529,0.3347,0.1176,-2.1405,0.2749,-1.5106,-1.6080,500000,50,16,catboost,40607.0000,7.0000,0.0003,130710.0000,133423.0000,,,,,,,,,,,,,,0.1611,0.0014,0.1642,0.0011,0.0069,,
0710_2124,M043,0.1000,2,MAE,575.0000,529,0.5097,0.1199,-2.1211,0.2527,-1.5582,,500000,500,48,catboost,,7.0000,0.0005,92065.0000,89628.0000,0.1204,0.1195,,,,,,,,,,,,0.2394,0.0008,0.2625,0.0003,0.0067,,
0708_1847,M041,0.1000,2,MAE,220.0000,529,0.3937,0.1241,-2.0867,,,,300000,500,48,lgbm,,,0.0001,50648.0000,46471.0000,,,,,,,,,,,,,,0.1706,0.0250,0.1650,0.0264,0.0067,,
0629_1311,M025,0.1000,2,group_mae,99.0000,529,0.3004,0.1627,-1.8158,0.3533,-1.3265,-1.4150,500000,500,24,catboost,30069.0000,,0.0014,,,,,,,,,,,,,,,,0.1422,0.0019,0.1544,0.0019,,,
0703_2133,M032,0.1000,3,MAE,293.0000,529,0.4531,0.1647,-1.8036,0.3390,-1.3405,,5000000,50,16,catboost,85338.0000,7.0000,0.0008,,,,,,,,,,,,,,,,0.1406,0.0011,0.1703,0.0014,,0.1389,0.0008
0705_2317,M036,0.1000,2,MAE,188.0000,529,0.3244,0.1670,-1.7898,0.3319,-1.3767,-1.4730,300000,50,16,catboost,32828.0000,7.0000,0.0013,147141.0000,132807.0000,,,,,,,,,,,,,,0.1650,0.0017,0.1494,0.0014,0.0069,,
0627_1434,M024,0.1000,2,group_mae,99.0000,529,0.6003,0.1750,-1.7430,0.3771,-1.2826,-1.3820,500000,500,48,lgbm,147803.0000,,0.0017,,,,,,,,,,,,,,,,0.2417,0.1011,0.1800,0.0775,,,
0630_1258,M028,0.1000,2,group_mae,186.0000,529,0.2523,0.1782,-1.7248,0.3684,-1.2487,,5000000,500,24,catboost,35730.0000,,0.0014,,,,,,,,,,,,,,,,0.1114,0.0011,0.1381,0.0017,,,
0629_2221,M027,0.1000,2,group_mae,241.0000,529,0.4067,0.1786,-1.7226,0.3677,-1.2683,-1.3520,500000,500,24,catboost,36762.0000,,0.0019,,,,,,,,,,,,,,,,0.2150,0.0047,0.1731,0.0042,0.0097,,
0629_1637,M026,0.1000,2,group_mae,241.0000,529,0.3187,0.1890,-1.6660,9.3908,1.3690,,500000,500,24,lgbm,106656.0000,,0.0000,,,,,,,,,,,,,,,,,,0.2350,0.0756,0.0081,,
0701_0819,M029,0.1000,2,RMSE,240.0000,529,0.4883,0.1911,-1.6550,0.3850,-1.2437,,5000000,500,24,catboost,56685.0000,4.0000,0.0016,,,,,,,,,,,,,,,,0.2186,0.0011,0.2672,0.0014,,,
0629_1638,M026,0.1000,2,group_mae,241.0000,529,0.2047,0.1920,-1.6503,9.3902,1.3679,,500000,500,24,lgbm,123918.0000,,0.0000,,,,,,,,,,,,,,,,0.1503,0.0472,,,0.0072,,
